Branch,Name,Display Type,Dialogue Text,Next Branch,Variable To Set,Variable Value,Condition,Conditional Next Branch,Locked In Dialogue,R1 Text,R1 Next Branch,R1 Spawn Condition,R1 Variable To Set,R1 Variable Value,R1 Is Impulsive Response,R2 Text,R2 Next Branch,R2 Spawn Condition,R2 Variable To Set,R2 Variable Value,R2 Is Impulsive Response,R3 Text,R3 Next Branch,R3 Spawn Condition,R3 Variable To Set,R3 Variable Value,R3 Is Impulsive Response
S1,Fraud,,,G0,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
,,,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G0,,,{pause 0.2},G1,,,,,,,,,,,,,,,,,,,,,,,
G1,,Fullscreen,[b]YOU.[/b]{pause 2},G2,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G2,,Fullscreen,Come over here,,,,,,FALSE,[i]Approach[/i],G2a,,APPROACH,1,FALSE,[i]stay still[/i],G3,,STILL,1,FALSE,,,,,,FALSE
G2a,,,{pause 2},G3,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G3,,,Answer me. What's 10 + 16?,,FOCUS,1,,,FALSE,5,G4,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G4,,,{pause 2},G5,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G5,,,[b][color=ba0700][shake rate=20.0 level=15 connected=1]You're a liar.[/shake][/color][/b]{pause 2},G6,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G6,,,Or an idiot.{pause 1},,UNVEIL,1,,,FALSE,You're the idiot!,G7,,,,FALSE,...,G7,,,,FALSE,,,,,,FALSE
G7,,,An idiot huh. Whelp... could be worse!,G8,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G8,,,"Hey, do you know where I should go? I'm lost.",G9,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G9,,,"Sorry, you're line. Try that one next.",,,,,,FALSE,I'm not lost.,G10,,,,FALSE,"Hey, do you know where I should go? I'm lost.",G11,,,,FALSE,,,,,,FALSE
G10,,,Then who are you?,,,,,,FALSE,[i]Reveal your name[/i],G14,,,,FALSE,[i]Lie[/i],G12,,,,FALSE,,,,,,FALSE
G11,,,"No problemo! What's your name, kid?",,,,,,FALSE,[i]Reveal your name[/i],G14,,,,FALSE,[i]Lie[/i],G12,,,,FALSE,,,,,,FALSE
G12,,,{pause 3},G13,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G13,,,"Nice to meet you, I'm Fraud.",G15,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G14,,,Nice to meet you! I'm Fraud.,G15,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G15,,,"I gotta warn ya, folks around here don't like strangers on their property...",G16,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G16,,,{speed 0.7}[color=ba0700]...if you're seen...[/color]{pause 2},G16A,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G16A,,,{speed 1}They might feed you dinner!,,,,,,FALSE,I'm not hungry.,G17,,,,FALSE,Why should I believe you?,G21,,,,FALSE,,,,,,FALSE
G17,,,Kid... you're {angry}fuckin{/angry} attitude man.{pause 2},G18,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G18,,,Go to Terin and his family.,G19,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G19,,,"They pretend to hate people like you, but in reality...",G20,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G20,,,Total softies. At least in my opinion.,,,,,,FALSE,How do you know?,G21,,,,FALSE,I don't believe you.,G21,,,,FALSE,,,,,,FALSE
G21,,,Is it the name? It's not the name is it?,G22,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G22,,,Well it's spelled F R A A D. It just SOUNDS like Fraud.,G23,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G23,,," I really would have preferred something COOL, like Tom.",G24,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G24,,,Or Jackie.,G25,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G25,,,"Either way, it's good of you not to trust strangers...",G26,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G26,,,............,G28,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G28,,,"Hey, have you seen anyone else on this path?",,,,,,FALSE,Yeah!,G28A,,,,FALSE,No.,G30,,,,FALSE,I don't think so...,G30,,,,FALSE
G28A,,,[b]Really?[/b] What did they look like?,,,,,,FALSE,Uhh... I forget.,G29A,,,,FALSE,[i]Lie about their appearance[/i],G28A1,,,,FALSE,,,,,,FALSE
G28A1,,,Uh huh... doesn't sound like my guy.,G30,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G29A,,,Did you? Okay...,G30,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G29,,,Okay.,G30,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G30,,,Just let me know if you see anyone who seems... a little confused.,G31,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G31,,,He's TOTALLY harmless.,G32,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G32,,,You can try asking him a question like I did earlier to make sure it's really him.,G33,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G33,,,[color=ba0700]He won't lie.[/color],G34,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G34,,,.........,G35,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G35,,,"If you see him, CALL ME IMMEDIATELY.",G36,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G36,,,My number is [b]1122[/b].{pause 1},G37,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G37,,,"Isn't that convenient? Where you're from, those were way longer.",G38,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G38,,,"Out with the out, in with the in!",,,,,,FALSE,What changed?,G39,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G39,,,"Not that much, really.",G40,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G40,,,"People like to make a big deal of it, but life really does go on.",G41,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G41,,,"It [i]is[/i] a confusing place, though.",G42,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G42,,,"You might get lost, or stuck.",G43,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G43,,,"Just remember, there's nothing you can't come back to later, with a little rest and food, and importantly, [b]advice[/b].",G44,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G44,,,"I have to go, but we'll talk soon.",END,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
G45,,,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
