Branch,Name,Display Type,Dialogue Text,Locked In Dialogue,Variable To Set,Variable Value,Next Branch,Condition,Conditional Next Branch,R1 Text,R1 Is Impulsive Response,R1 Spawn Condition,R1 Variable To Set,R1 Variable Value,R1 Next Branch,R2 Text,R2 Is Impulsive Response,R2 Spawn Condition,R2 Variable To Set,R2 Variable Value,R2 Next Branch,R3 Text,R3 Is Impulsive Response,R3 Spawn Condition,R3 Variable To Set,R3 Variable Value,R3 Next Branch
S1,Murrelet,,,FALSE,,,T1,AT_004_RELAPSE,S1a,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
S1a,,,,FALSE,,,S2,HAS_CLICKER,C1,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
S2,,,,FALSE,,,R1,OLD_MET_RELAPSE,R14,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
S3,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
S4,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,RELAPSE,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
R1,,,Don't suppose you've got the answers?,FALSE,OLD_MET,1,,,,Nope,FALSE,,OLD_MET_RELAPSE,1,R3,To what?,FALSE,,OLD_MET_RELAPSE,1,R2,Leave me alone,FALSE,,OLD_MET_RELAPSE,0,END
R2,,,"Well, how to get up there for one. How they meant us to do it. Well not us... but... you know.",FALSE,,,,,,Why not us?,FALSE,,,,R5,What do you think is up there?,FALSE,,,,R4a,,FALSE,,,,
R3,,,"Welcome to the crew. Wonder how they meant us to do it - well, not [i]us[/i], but you know. It's just too high up.",FALSE,,,,,,Why not us?,FALSE,,,,R5,What do you think is up there?,FALSE,,,,R4a,,FALSE,,,,
R5,,,"Presumably it was built for the creators onboarding process. Back when they still existed. I mean, if they ever did.",FALSE,,,,,,Right...,FALSE,,,,R4,,FALSE,,,,,,FALSE,,,,
R6,,,The key to everything. Ts'what Hector said at least.,FALSE,,,,,,I see,FALSE,,,,R4,Who is Hector?,FALSE,,,,R7,,FALSE,,,,
R7,,,A false prophet. That's all I'll say.,FALSE,,,,,,...,FALSE,,,,R4,,FALSE,,,,,,FALSE,,,,
R4a,,,"Not sure, and that's the issue.",FALSE,,,,,,...,FALSE,,,,R4,,FALSE,,,,,,FALSE,,,,
R4,,,They say this was the tipping point that led to the collapse of the scouts. Not being able to solve this.,FALSE,,,,,,I heard that...,FALSE,,,,R8,Who are the scouts?,FALSE,,,,R9,,FALSE,,,,
R9,,,"You kiddin me? Yer one of them, by the looks of it. You got here with a pod didn't you?",FALSE,,,,,,"Right, I knew that.",FALSE,,,,R8,Who are they really?,FALSE,,,,R9a,,FALSE,,,,
R9a,,,I don't got the answers to that type of question kid.,FALSE,,,,,,...,FALSE,,,,R8,,FALSE,,,,,,FALSE,,,,
R8,,,"Well if you need any help don't hesitate to ask. I'm one of the most senior scouts you'll find. Was, at least.",FALSE,,,,,,Thanks,FALSE,,,,END,Actually I have some questions,FALSE,,,,R10,,FALSE,,,,
R10,,,Shoot,FALSE,,,,,,Tell me about the creators,FALSE,,,,R11,Tell me about the scouts,FALSE,,,,R12,Nevermind,FALSE,,,,END
R11,,,The creators - [i]if they even existed[/i] - were the ones who stuck us underground. Some say it was for our own good. I'm not so sure about that.,FALSE,,,,,,...,FALSE,,,,R13,,FALSE,,,,,,FALSE,,,,
R12,,,"The scouts were founded when I was a kid. A revolutionary movement. After the creators abandonment, we formed with the goal to reach the surface by our own means.",FALSE,,,,,,...,FALSE,,,,R13,,FALSE,,,,,,FALSE,,,,
R13,,,Anything else?,FALSE,,,,,,Tell me about the creators,FALSE,,,,R11,Tell me about the scouts,FALSE,,,,R12,Nevermind,FALSE,,,,END
R14,,,Can I help you?,FALSE,,,,,,Tell me about the creators,FALSE,,,,R11,Tell me about the scouts,FALSE,,,,R12,Nevermind,FALSE,,,,END
,,,TEST,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
T1,,,,FALSE,,,T1xa,OLD_MET_TEST,T8,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
T1xa,,,,FALSE,,,T2,OLD_MET,T3,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
T2,,,"Howdy! Look atcha, a new recruit in the flesh.",FALSE,OLD_MET,1,,,,Nice to meet you,FALSE,,OLD_MET_TEST,1,T4,Hi,FALSE,,OLD_MET_TEST,1,T4,Leave me alone,FALSE,,,,END
T3,,,This ones a real puzzler...,FALSE,,,,,,Hi,FALSE,,OLD_MET_TEST,1,T4,You haven't solved it?,FALSE,,OLD_MET_TEST,1,T3a,Leave me alone,FALSE,,,,END
T3a,,,"Of course I have! I'm one of the best, trust me. It's just my memory... it's been too long.",FALSE,,,,,,So you can't help me?,FALSE,,,,T5,I understand.,FALSE,,,,T6,,FALSE,,,,
T4,,,"I've been trying at this one all day, can't help but feel like I've forgotten something important.",FALSE,,,,,,So you can't help me?,FALSE,,,,T5,I understand.,FALSE,,,,T6,,FALSE,,,,
T5,,,Maybe I can't... but I bet a look at CONTACT or FALL would do us both some good.,FALSE,,,,,,What do you mean?,FALSE,,,,T7,Got it,FALSE,,,,END,I've been to both...,FALSE,BEEN_CONTACT_AND_FALL,,,T6a
T6,,,"I appreciate that. To be honest, I bet a look at CONTACT or FALL would do us both some good.",FALSE,,,,,,What do you mean?,FALSE,,,,T7,Got it,FALSE,,,,END,I've been to both...,FALSE,BEEN_CONTACT_AND_FALL,,,T6a
T6a,,,Oh alright you got me. I [i]may[/i] have been holding out on you.,FALSE,,,,,,Spill!,FALSE,,,,T6b,Please help me,FALSE,,,,T6b,,FALSE,,,,
T6b,,,"This one here requires you to boost a node remotely, and throw the one yer holding pretty quickly after in order to beat the timer.",FALSE,,,,,,Thanks!,FALSE,,,,END,A little more specific?,FALSE,,,,T6c,,FALSE,,,,
T6c,,,"Well when I did it, I tossed the left node over the field so I could have both on the right. From there I tossed one up into the field, orbitted it around remotely, boosted it to the left holder, and then threw the one I was holding.",FALSE,,,,,,Gotcha,FALSE,,,,END,Uhhh,FALSE,,,,T6d,,FALSE,,,,
T6d,,,"I'm tryin my best here kid. Listen, you can aim a throw before boosting a clicker, so everythings in place. That's alll I've got for you.",FALSE,,,,,,Thanks.,FALSE,,,,END,,FALSE,,,,,,FALSE,,,,
T7,,,"If there's one thing I've learned about creator tech, it's that theres an order to things. I'm sure we could solve this right now with the right info.",FALSE,,,,,,I see,FALSE,,,,END,I'll go take a look,FALSE,,,,END,,FALSE,,,,
T8,,,Need anything?,FALSE,,,,,,Tell me about the creators,FALSE,,,,R11,Tell me about the scouts,FALSE,,,,R12,Please help me solve this?,FALSE,,,,T8a
T8a,,,,FALSE,,,T9,BEEN_CONTACT_AND_FALL,T6a,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
T9,,,"Well I told you, I don't much remember how. All I know is CONTACT and FALL should have the info you need if you look closely enough.",FALSE,,,,,,I'll check them out,FALSE,,,,END,Fuck!,FALSE,,,,T10,,FALSE,,,,
T10,,,[b]WATCH YER MOUTH!!![/b],FALSE,,,,,,sorry,FALSE,,,,END,,FALSE,,,,,,FALSE,,,,
,,,CLICKER,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
C1,,,,FALSE,,,C1a,OLD_SPOKE_ABOUT_CLICKER,C8,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
